13:27:54.529 [main] INFO  testCases.TC_002_SFS_All_Mobile - Range Selected 30
14:10:27.349 [main] INFO  utilities.SurveyFormReUsables - Yes or No Control Title Passed : Actual Value is: Select Yes or No..?Expected Value is: Select Yes or No..?
14:10:28.922 [main] INFO  testCases.TC_001_SFI_All_Mobile - Validation of YesorNo Control Title Select Yes or No..? 
14:10:30.861 [main] INFO  testCases.TC_001_SFI_All_Mobile - Yes Clicked
14:10:31.085 [main] INFO  testCases.TC_001_SFI_All_Mobile - YesorNo Next Clicked
14:10:32.169 [main] INFO  utilities.SurveyFormReUsables - Agreement Control Title Passed : Actual Value is: Terms and Conditions..!Expected Value is: Terms and Conditions..!
14:10:33.687 [main] INFO  testCases.TC_001_SFI_All_Mobile - Validation of Agreement Control Title Terms and Conditions..! 
14:10:33.816 [main] INFO  utilities.SurveyFormReUsables - Agreement Text Passed : Actual Value is: I agree to the terms and conditionsExpected Value is: I agree to the terms and conditions
14:10:35.294 [main] INFO  testCases.TC_001_SFI_All_Mobile - Validation of Agreement TextI agree to the terms and conditions
14:10:36.587 [main] INFO  testCases.TC_001_SFI_All_Mobile - Agreement Next Clicked
14:10:37.672 [main] INFO  utilities.SurveyFormReUsables - Ranking Matrix Title Passed : Actual Value is: Choose the value..!Expected Value is: Choose the value..!
14:10:39.261 [main] INFO  testCases.TC_001_SFI_All_Mobile - Validation of Agreement Control Title Choose the value..! 
14:10:40.173 [main] INFO  testCases.TC_001_SFI_All_Mobile - Ranking Matrix Values Selected
14:10:41.892 [main] INFO  testCases.TC_001_SFI_All_Mobile - Ranking Matrix Next Clicked
14:10:45.266 [main] INFO  testCases.TC_001_SFI_All_MobileResponse - ******starting TC_001_SFI_All_MobileResponse ****
14:10:45.266 [main] INFO  testCases.TC_001_SFI_All_MobileResponse - Test Execution on Browser: chrome
14:10:45.267 [main] INFO  testCases.TC_001_SFI_All_MobileResponse - Excel file Utility instance created
14:10:45.362 [main] INFO  testCases.TC_001_SFI_All_MobileResponse - Row Count is: 1
14:10:45.412 [main] INFO  testCases.TC_001_SFI_All_MobileResponse - Col Count is: 49
14:10:45.412 [main] INFO  testCases.TC_001_SFI_All_MobileResponse - Extracting DataSheet Values started...
14:10:46.416 [main] INFO  testCases.TC_001_SFI_All_MobileResponse - Extracting DataSheet Values Completed...
14:10:51.427 [main] INFO  testCases.TC_001_SFI_All_MobileResponse - Navigation started
14:10:55.585 [main] INFO  testCases.TC_001_SFI_All_MobileResponse - Login details Entered
14:10:55.670 [main] INFO  testCases.TC_001_SFI_All_MobileResponse - Chat bot Logged In
14:11:10.682 [main] INFO  testCases.TC_001_SFI_All_MobileResponse - Hard wait for 15 secs
14:11:18.904 [main] INFO  testCases.TC_001_SFI_All_MobileResponse - clear all button clicked on listbox
14:11:19.277 [main] INFO  testCases.TC_001_SFI_All_MobileResponse - Build Name entered in List Box
14:11:22.283 [main] INFO  testCases.TC_001_SFI_All_MobileResponse - Waited for 3 secs
14:11:22.357 [main] INFO  testCases.TC_001_SFI_All_MobileResponse - Enter Key applied on ListBox
14:11:23.372 [main] INFO  testCases.TC_001_SFI_All_MobileResponse - Hard Wait for 1 sec
14:11:23.492 [main] INFO  testCases.TC_001_SFI_All_MobileResponse - clicked side bar Build button once
14:11:24.496 [main] INFO  testCases.TC_001_SFI_All_MobileResponse - Hard Wait for 1 sec
14:11:24.590 [main] INFO  testCases.TC_001_SFI_All_MobileResponse - clicked side bar Result
14:11:24.910 [main] INFO  testCases.TC_001_SFI_All_MobileResponse - Side Item Response clicked
14:11:25.034 [main] INFO  testCases.TC_001_SFI_All_MobileResponse - clicked refresh Response
14:11:25.134 [main] INFO  testCases.TC_001_SFI_All_MobileResponse - clicked refresh Response Again
14:11:28.263 [main] INFO  testCases.TC_001_SFI_All_MobileResponse - Clicked first Response
14:11:28.263 [main] INFO  testCases.TC_001_SFI_All_MobileResponse - Navigated to Build: SFAllMobile_Independent
14:11:30.069 [main] INFO  utilities.Browser.SurveyFormReUsables - Message Control Header Expected Value:Hi, Welcome to chat bot..! Actual Value: Hi, Welcome to chat bot..!
14:11:30.069 [main] INFO  utilities.Browser.SurveyFormReUsables - Message Control Header Passed : Actual Value is: Hi, Welcome to chat bot..!Expected Value is: Hi, Welcome to chat bot..!
14:11:32.543 [main] INFO  utilities.Browser.SurveyFormReUsables - MultiChoice Control Question Expected Value:Select an option..! Actual Value: Select an option..!
14:11:32.543 [main] INFO  utilities.Browser.SurveyFormReUsables - MultiChoice Control Question Passed : Actual Value is: Select an option..!Expected Value is: Select an option..!
14:11:33.960 [main] INFO  utilities.Browser.SurveyFormReUsables - MultiChoice Control Answer Expected Value:DisAgree Actual Value: DisAgree
14:11:33.960 [main] INFO  utilities.Browser.SurveyFormReUsables - MultiChoice Control Answer Passed : Actual Value is: DisAgreeExpected Value is: DisAgree
14:11:36.384 [main] INFO  utilities.Browser.SurveyFormReUsables - Text Question Control Question Expected Value:Please type an answer ..! Actual Value: Please type an answer ..!
14:11:36.384 [main] INFO  utilities.Browser.SurveyFormReUsables - Text Question Control Question Passed : Actual Value is: Please type an answer ..!Expected Value is: Please type an answer ..!
14:11:37.775 [main] INFO  utilities.Browser.SurveyFormReUsables - Text Question Control Answer Expected Value:Welcome to Automation...! Actual Value: Welcome to Automation...!
14:11:37.775 [main] INFO  utilities.Browser.SurveyFormReUsables - Text Question Control Answer Passed : Actual Value is: Welcome to Automation...!Expected Value is: Welcome to Automation...!
14:11:40.193 [main] INFO  utilities.Browser.SurveyFormReUsables - Email Control Question Expected Value:What is your email address? Actual Value: What is your email address?
14:11:40.193 [main] INFO  utilities.Browser.SurveyFormReUsables - Email Control Question Passed : Actual Value is: What is your email address?Expected Value is: What is your email address?
14:11:41.576 [main] INFO  utilities.Browser.SurveyFormReUsables - Email Control Answer Expected Value:sudhakar@rsoft.in Actual Value: sudhakar@rsoft.in
14:11:41.577 [main] INFO  utilities.Browser.SurveyFormReUsables - Email Control Answer Passed : Actual Value is: sudhakar@rsoft.inExpected Value is: sudhakar@rsoft.in
14:11:44.491 [main] INFO  utilities.Browser.SurveyFormReUsables - Phone Number Control Question Expected Value:Please type your phone number Actual Value: Please type your phone number
14:11:44.491 [main] INFO  utilities.Browser.SurveyFormReUsables - Phone Number Control Question Passed : Actual Value is: Please type your phone numberExpected Value is: Please type your phone number
14:11:45.890 [main] INFO  utilities.Browser.SurveyFormReUsables - Phone Number Control Answer Expected Value:+91 1234567890 Actual Value: +91 1234567890
14:11:45.892 [main] INFO  utilities.Browser.SurveyFormReUsables - Phone Number Control Answer Passed : Actual Value is: +91 1234567890Expected Value is: +91 1234567890
14:11:48.412 [main] INFO  utilities.Browser.SurveyFormReUsables - Appointment Control Question Expected Value:Book an appointment / meeting Actual Value: Book an appointment / meeting
14:11:48.413 [main] INFO  utilities.Browser.SurveyFormReUsables - Appointment Control Question Passed : Actual Value is: Book an appointment / meetingExpected Value is: Book an appointment / meeting
14:11:49.831 [main] INFO  utilities.Browser.SurveyFormReUsables - Appointment Control Answer Expected Value:Appointment Date : 06/11/2023, Time : [ 09:45 AM to 09:49 AM ] Actual Value: Appointment Date : 06/11/2023, Time : [ 09:45 AM to 09:49 AM ]
14:11:49.831 [main] INFO  utilities.Browser.SurveyFormReUsables - Appointment Control Answer Passed : Actual Value is: Appointment Date : 06/11/2023, Time : [ 09:45 AM to 09:49 AM ]Expected Value is: Appointment Date : 06/11/2023, Time : [ 09:45 AM to 09:49 AM ]
14:11:52.224 [main] INFO  utilities.Browser.SurveyFormReUsables - MultiSelect Control Question Expected Value:Select your choices..! Actual Value: Select your choices..!
14:11:52.224 [main] INFO  utilities.Browser.SurveyFormReUsables - MultiSelect Control Question Passed : Actual Value is: Select your choices..!Expected Value is: Select your choices..!
14:11:53.684 [main] INFO  utilities.Browser.SurveyFormReUsables - MultiSelect Control Answer Expected Value:DisAgree, Agree, Strongly Agree Actual Value: DisAgree, Agree, Strongly Agree
14:11:53.684 [main] INFO  utilities.Browser.SurveyFormReUsables - MultiSelect Control Answer Passed : Actual Value is: DisAgree, Agree, Strongly AgreeExpected Value is: DisAgree, Agree, Strongly Agree
14:11:56.092 [main] INFO  utilities.Browser.SurveyFormReUsables - List Control Question Expected Value:Type and select your answer..! Actual Value: Type and select your answer..!
14:11:56.092 [main] INFO  utilities.Browser.SurveyFormReUsables - List Control Question Passed : Actual Value is: Type and select your answer..!Expected Value is: Type and select your answer..!
14:11:57.471 [main] INFO  utilities.Browser.SurveyFormReUsables - List Control Values Expected Value:Sample Option 2 Actual Value: Sample Option 2
14:11:57.471 [main] INFO  utilities.Browser.SurveyFormReUsables - List Control Values Passed : Actual Value is: Sample Option 2Expected Value is: Sample Option 2
14:11:59.873 [main] INFO  utilities.Browser.SurveyFormReUsables - Number Control Question Expected Value:Enter the Number? Actual Value: Enter the Number?
14:11:59.873 [main] INFO  utilities.Browser.SurveyFormReUsables - Number Control Question Passed : Actual Value is: Enter the Number?Expected Value is: Enter the Number?
14:12:01.278 [main] INFO  utilities.Browser.SurveyFormReUsables - Number Control Answer Expected Value:1234567890 Actual Value: 1234567890
14:12:01.278 [main] INFO  utilities.Browser.SurveyFormReUsables - Number Control Answer Passed : Actual Value is: 1234567890Expected Value is: 1234567890
14:12:03.662 [main] INFO  utilities.Browser.SurveyFormReUsables - Range Control Question Expected Value:Select a range Actual Value: Select a range
14:12:03.662 [main] INFO  utilities.Browser.SurveyFormReUsables - Range Control Question Passed : Actual Value is: Select a rangeExpected Value is: Select a range
14:12:05.040 [main] INFO  utilities.Browser.SurveyFormReUsables - Range Control Answer Expected Value:50 Actual Value: 50
14:12:05.041 [main] INFO  utilities.Browser.SurveyFormReUsables - Range Control Answer Passed : Actual Value is: 50Expected Value is: 50
14:12:07.437 [main] INFO  utilities.Browser.SurveyFormReUsables - Rating Control Question Expected Value:How was your experience? Actual Value: How was your experience?
14:12:07.438 [main] INFO  utilities.Browser.SurveyFormReUsables - Rating Control Question Passed : Actual Value is: How was your experience?Expected Value is: How was your experience?
14:12:08.986 [main] INFO  utilities.Browser.SurveyFormReUsables - Rating Control Answer Expected Value:Terrible Actual Value: Terrible
14:12:08.986 [main] INFO  utilities.Browser.SurveyFormReUsables - Rating Control Answer Passed : Actual Value is: TerribleExpected Value is: Terrible
14:12:11.464 [main] INFO  utilities.Browser.SurveyFormReUsables - Opinion Scale Control Question Expected Value:Choose a number? Actual Value: Choose a number?
14:12:11.465 [main] INFO  utilities.Browser.SurveyFormReUsables - Opinion Scale Control Question Passed : Actual Value is: Choose a number?Expected Value is: Choose a number?
14:12:12.825 [main] INFO  utilities.Browser.SurveyFormReUsables - Opinion Scale Control Answer Expected Value:9 Actual Value: 9
14:12:12.826 [main] INFO  utilities.Browser.SurveyFormReUsables - Opinion Scale Control Answer Passed : Actual Value is: 9Expected Value is: 9
14:12:15.193 [main] INFO  utilities.Browser.SurveyFormReUsables - Date Control Question Expected Value:Select a date Actual Value: Select a date
14:12:15.193 [main] INFO  utilities.Browser.SurveyFormReUsables - Date Control Question Passed : Actual Value is: Select a dateExpected Value is: Select a date
14:12:16.635 [main] INFO  utilities.Browser.SurveyFormReUsables - Date Control Answer Expected Value:04/11/2023 Actual Value: 04/11/2023
14:12:16.635 [main] INFO  utilities.Browser.SurveyFormReUsables - Date Control Answer Passed : Actual Value is: 04/11/2023Expected Value is: 04/11/2023
14:12:19.042 [main] INFO  utilities.Browser.SurveyFormReUsables - Link Control Question Expected Value:Please contact us Actual Value: Please contact us
14:12:19.042 [main] INFO  utilities.Browser.SurveyFormReUsables - Link Control Question Passed : Actual Value is: Please contact usExpected Value is: Please contact us
14:12:21.460 [main] INFO  utilities.Browser.SurveyFormReUsables - Thank You Control Question Expected Value:Nice chatting with you Actual Value: Nice chatting with you
14:12:21.461 [main] INFO  utilities.Browser.SurveyFormReUsables - Thank You Control Question Passed : Actual Value is: Nice chatting with youExpected Value is: Nice chatting with you
14:12:23.951 [main] INFO  utilities.Browser.SurveyFormReUsables - Picture Message Control Question Expected Value:Select the picture…! Actual Value: Select the picture…!
14:12:23.951 [main] INFO  utilities.Browser.SurveyFormReUsables - Picture Message Control Question Passed : Actual Value is: Select the picture…!Expected Value is: Select the picture…!
14:12:25.352 [main] INFO  utilities.Browser.SurveyFormReUsables - Picture Message Control Answer Expected Value:PictureMessage Actual Value: PictureMessage
14:12:25.352 [main] INFO  utilities.Browser.SurveyFormReUsables - Picture Message Control Answer Passed : Actual Value is: PictureMessageExpected Value is: PictureMessage
14:12:27.837 [main] INFO  utilities.Browser.SurveyFormReUsables - Yes or No Control Question Expected Value:Select Yes or No..? Actual Value: Select Yes or No..?
14:12:27.837 [main] INFO  utilities.Browser.SurveyFormReUsables - Yes or No Control Question Passed : Actual Value is: Select Yes or No..?Expected Value is: Select Yes or No..?
14:12:29.237 [main] INFO  utilities.Browser.SurveyFormReUsables - Yes or No Control Answer Expected Value:Yes Actual Value: Yes
14:12:29.238 [main] INFO  utilities.Browser.SurveyFormReUsables - Yes or No Control Answer Passed : Actual Value is: YesExpected Value is: Yes
14:12:31.664 [main] INFO  utilities.Browser.SurveyFormReUsables - Agreement Control Question Expected Value:Terms and Conditions..! Actual Value: Terms and Conditions..!
14:12:31.664 [main] INFO  utilities.Browser.SurveyFormReUsables - Agreement Control Question Passed : Actual Value is: Terms and Conditions..!Expected Value is: Terms and Conditions..!
14:12:33.137 [main] INFO  utilities.Browser.SurveyFormReUsables - Agreement Control Answer Expected Value:Accepted Actual Value: Accepted
14:12:33.138 [main] INFO  utilities.Browser.SurveyFormReUsables - Agreement Control Answer Passed : Actual Value is: AcceptedExpected Value is: Accepted
14:12:35.529 [main] INFO  utilities.Browser.SurveyFormReUsables - Rank Matrix Control Question Expected Value:Choose the value..! Actual Value: Choose the value..!
14:12:35.529 [main] INFO  utilities.Browser.SurveyFormReUsables - Rank Matrix Control Question Passed : Actual Value is: Choose the value..!Expected Value is: Choose the value..!
14:12:57.202 [main] INFO  utilities.Browser.SurveyFormReUsables - Rank Matrix Values Passed : Actual Value is: 159Expected Value is: 159
14:13:13.245 [main] INFO  testCases.TC_002_SFS_All_Mobile - ******starting TC_002_SFS_All_Mobile ****
14:13:13.245 [main] INFO  testCases.TC_002_SFS_All_Mobile - Test Execution on Browser: chrome
14:13:13.249 [main] INFO  testCases.TC_002_SFS_All_Mobile - Excel file Utility instance created
14:13:13.352 [main] INFO  testCases.TC_002_SFS_All_Mobile - Row Count is: 1
14:13:13.412 [main] INFO  testCases.TC_002_SFS_All_Mobile - Col Count is: 50
14:13:13.412 [main] INFO  testCases.TC_002_SFS_All_Mobile - Extracting DataSheet Values started...
14:13:15.201 [main] INFO  testCases.TC_002_SFS_All_Mobile - Extracting DataSheet Values Completed...
14:13:29.876 [main] INFO  testCases.TC_002_SFS_All_Mobile - Survey Form Section Controls Url Launched..
14:13:30.145 [main] INFO  utilities.SurveyFormReUsables - Section Title Passed : Actual Value is: Section Title..!Expected Value is: Section Title..!
14:13:31.560 [main] INFO  testCases.TC_002_SFS_All_Mobile - Section Title Validation done:  Section Title..! 
14:13:33.352 [main] INFO  pageObjects.Android.SectionControlsPage - Message Control Title Validation with Expected: Hi, Welcome to Survey form...! and Actual is:  Hi, Welcome to chat bot..! 
14:13:34.999 [main] INFO  pageObjects.Android.SectionControlsPage - MultiChoice Control Title Validation with Expected: Select an option..! and Actual is:  Select an option..! 
14:13:38.789 [main] INFO  utilities.Android.UtilityCustomFunctions - [Strongly DisAgree] is selected in List
14:13:38.789 [main] INFO  testCases.TC_002_SFS_All_Mobile - MultiChoice Item Selected : Strongly DisAgree
14:13:41.875 [main] INFO  pageObjects.Android.SectionControlsPage - TextQuestion Control Title Validation with Expected: Please type an answer ..! and Actual is:  Please type an answer ..! 
14:13:45.707 [main] INFO  testCases.TC_002_SFS_All_Mobile - Text Entered in TextAnswer Control
14:13:47.494 [main] INFO  pageObjects.Android.SectionControlsPage - Email Control Title Validation with Expected: What is your email address? and Actual is:  What is your email address? 
14:13:50.376 [main] INFO  testCases.TC_002_SFS_All_Mobile - Email Id Entered
14:13:52.179 [main] INFO  pageObjects.Android.SectionControlsPage - Phone Number Control Title Validation with Expected: Please type your phone number and Actual is:  Please type your phone number 
14:13:55.068 [main] INFO  testCases.TC_002_SFS_All_Mobile - Phone Number Entered
14:13:57.831 [main] INFO  pageObjects.Android.SectionControlsPage - Appointment Control Title Validation with Expected: Book an appointment / meeting and Actual is:  Book an appointment / meeting 
14:13:59.941 [main] INFO  testCases.TC_002_SFS_All_Mobile - Appointment button Clicked
14:14:24.276 [main] INFO  testCases.TC_002_SFS_All_Mobile - Appointment Updated to Datasheet
14:14:25.819 [main] INFO  testCases.TC_002_SFS_All_Mobile - Appointment Time Captured in Expected Value
14:14:32.617 [main] INFO  pageObjects.Android.SectionControlsPage - MultiSelect Control Title Validation with Expected: Select your choices..! and Actual is:  Select your choices..! 
14:14:43.852 [main] INFO  testCases.TC_002_SFS_All_Mobile - MultiSelect Value Selected
14:14:47.188 [main] INFO  pageObjects.Android.SectionControlsPage - List Control Title Validation with Expected: Type and select your answer..! and Actual is:  Type and select your answer..! 
14:14:50.360 [main] INFO  testCases.TC_002_SFS_All_Mobile - List Input Box Clicked 
14:14:56.384 [main] INFO  testCases.TC_002_SFS_All_Mobile - List Item Selected Sample Option 5
14:15:00.735 [main] INFO  pageObjects.Android.SectionControlsPage - Number Control Title Validation with Expected: Enter the Number? and Actual is:  Enter the Number? 
14:15:02.828 [main] INFO  testCases.TC_002_SFS_All_Mobile - Number Selected 1234567890
14:15:07.144 [main] INFO  pageObjects.Android.SectionControlsPage - Range Control Title Validation with Expected: Select a range and Actual is:  Select a range 
14:15:20.225 [main] INFO  testCases.TC_002_SFS_All_Mobile - Range Selected 30
14:15:24.644 [main] INFO  pageObjects.Android.SectionControlsPage - Rating Control Title Validation with Expected: How was your experience? and Actual is:  How was your experience? 
14:15:27.162 [main] INFO  testCases.TC_002_SFS_All_Mobile - Rating Value: OkayClicked
